     CLASS               CLASS
      Pgm5                  ID
         {                  LB
       VAR                 VAR
         N                  ID
         ;                SEMI
       VAR                 VAR
       FAC                  ID
         ;                SEMI
       VAR                 VAR
         I                  ID
         ;                SEMI
       GET                 GET
         N                  ID
         ;                SEMI
       FAC                  ID
         =              ASSIGN
         1                 INT
         ;                SEMI
         I                  ID
         =              ASSIGN
         1                 INT
         ;                SEMI
     WHILE               WHILE
         I                  ID
        <=               RELOP
         N                  ID
        DO                  DO
         {                  LB
       FAC                  ID
         =              ASSIGN
       FAC                  ID
         *                 MOP
         I                  ID
         ;                SEMI
         I                  ID
         =              ASSIGN
         I                  ID
         +               ADDOP
         1                 INT
         ;                SEMI
         }                  RB
     PRINT               PRINT
       FAC                  ID
         ;                SEMI
         }                  RB
